Code,time
8CG,"08:30-12:30,15:30-19:30"
8CH,"08:30-11:00,11:30-12:30"
8CI,"8:30-12:00,12:30-17:00,17:30-21:30"
8CY,"8:00-11:30,16:00-17:00,19:00-21:30"
8CZ,"8:30-12:00,16:30-17:30,19:30-22:00"
8D,"8:00-11:30,12:30-17:30,18:30-21:30"
8DA,"08:30-12:00,14:00-22:00"
8DB,"08:00-12:00,13:00-17:00"
8DC,"8:00-12:00,13:30-18:00,19:30-24:00"
8DE,"08:00-12:00,15:00-18:00"
8DF,"08:00-11:00,11:30-17:30,18:00-20:30"
8DG,"08:00-11:00,12:00-17:30,18:00-21:00"
8DH,"08:00-12:30,19:00-22:00"
8DI,"08:30-17:00,22:00-25:00"
8DK,"8:30-11:30,12:00-20:30"
8DL,"08:30-11:00,12:00-17:30"
8DM,"08:30-11:00,12:00-18:30"
8DN,"08:00-11:00,12:00-17:00"
8DO,"08:00-11:00,12:00-18:00"
8DP,"12:30-17:00,18:00-21:30"
8DQ,"11:30-17:00,18:00-21:30"
8DR,"12:00-17:00,18:00-21:00"
8DS,"11:00-17:00,18:00-21:00"
8DT,"08:30-11:00,12:00-17:00,18:00-19:30"
8DU,"08:00-11:00,12:00-17:00,18:00-19:00"
8DV,"8:30-11:00,12:00-13:30,17:00-22:00"
8DW,"08:00-14:00,18:00-22:00"
8DX,"08:00-13:00,17:30-21:30"
8DY,"08:30-11:30,17:00-21:30"
8DZ,"8:30-13:30,16:30-17:30,18:30-21:30"
8E,"8:00-11:30,12:30-17:00,18:00-22:00"
8EA,"8:00-12:00,16:00-17:00,18:00-21:00"
8EB,"8:30-12:00,16:00-17:00,18:00-21:30"
8EC,"08:00-11:30,16:00-21:30"
8ED,"08:30-13:00,17:30-22:00"
8EG,"8:00-12:00,13:00-17:00,18:00-20:00"
8EH,"8:00-11:30,12:30-16:00"
8EI,"8:00-11:30,14:00-18:30"
8EJ,"8:00-11:30,16:00-17:00,18:00-21:30"
8EK,"8:00-12:00,13:00-18:00,19:00-23:00"
8EL,"8:00-12:00,13:00-17:00,18:00-22:30"
8EM,"8:00-12:00,15:30-17:00,18:00-20:30"
8EN,"8:00-12:00,16:30-21:30"
8EO,"8:00-12:00,17:00-18:00,19:00-22:00"
8EP,"8:30-10:30,11:30-13:00,17:30-22:00"
8EQ,"8:30-10:30,11:30-13:30,17:30-21:30"
8ER,"8:30-12:30,16:00-17:00,18:00-21:00"
8F,08:30-32:30
8G,"08:30-12:00,13:00-16:30"
8H,08:30-12:00
8I,"08:30-12:00,12:30-15:30"
8J,"08:30-11:30,13:30-17:30"
8K,"08:30-11:30,17:30-21:00"
8L,"8:30-12:30,13:00-17:30,18:00-21:00"
8M,"8:30-11:30,12:30-17:00,18:00-21:30"
8N,"08:00-11:30,14:30-17:30"
8O,"08:00-12:00,14:30-17:30"
8P,"08:00-12:00,18:00-20:00"
8Q,"08:00-11:00,12:00-17:00,18:00-20:30"
8R,"08:00-11:00,18:00-21:00"
8S,"8:00-11:00,12:00-17:00,18:00-21:00"
8T,"08:00-11:00,18:30-21:30"
8U,08:00-32:00
8V,"08:00-12:00,18:00-20:30"
8W,"08:00-11:30,18:00-21:00"
8X,"08:00-11:30,14:00-17:00"
8Y,"08:00-12:00,13:30-17:00"
8YW,"8:00-12:00,13:30-17:00"
8Z,"08:30-11:30,12:30-17:00,18:00-22:00"
9A,"09:00-12:30,13:00-16:00"
9AA,"09:00-12:00,18:00-21:30"
9AB,"09:30-12:00,13:00-18:00"
9AC,09:00-13:30
9AD,"9:00-11:00,13:00-17:00,19:30-30:00"
9AE,"09:00-11:30,12:30-17:30,18:30-22:00"
9AF,09:00-12:00
9AG,"09:00-11:30,13:00-17:00"
9AH,"09:00-12:00,13:30-17:30"
9AI,"09:00-12:00,13:30-18:00"
9AJ,"09:00-14:30,20:00-21:00"
9AK,"9:00-11:00,12:00-13:30,17:00-18:00,19:30-21:30"
9AL,"9:00-11:30,12:30-13:30,17:00-18:00,19:00-21:30"
9AM,"09:00-11:00,13:30-22:00"
9AN,"9:30-11:30,12:30-13:30,17:00-17:30,18:30-22:00"
9AP,"09:30-12:00,12:30-16:00"
9AQ,"09:30-11:30,13:00-17:30"
9AR,"09:30-12:00,13:00-17:30"
9AS,"09:00-12:00,14:00-18:00"
9AT,"9:00-11:30,12:00-17:30,18:00-32:00"
9AU,"09:00-12:00,13:30-17:00,18:00-22:00"
9AV,"09:30-12:00,13:30-17:00,18:00-21:30"
9AW,"9:30-12:00,13:00-18:30"
9B,"09:00-11:30,12:30-17:00"
9BE,"09:30-11:30,13:30-21:00"
9BF,"09:30-12:00,13:00-15:30"
9BG,"09:30-12:30,13:00-15:30"
9BH,"09:30-12:30,13:00-19:00"
9BI,"09:00-12:00,13:00-21:00"
9BJ,"09:00-17:00,19:00-21:30"
9BK,"09:00-12:00,13:00-18:00"
9BL,"9:00-11:00,13:00-17:30"
9BM,"09:30-13:30,18:00-22:00"
9BN,"9:00-11:00,12:00-13:00,17:00-22:00"
9BO,"9:00-11:00,12:00-13:00,16:30-21:30"
9BP,"9:00-12:00,13:00-17:00,18:00-21:00"
9BQ,"9:00-12:00,14:30-20:30"
9BR,"9:00-12:30,16:00-17:00,18:00-21:30"
9BS,"9:00-13:00,17:30-22:30"
9BT,"9:30-11:00,12:00-18:30"
9C,"09:00-11:00,12:00-14:30,16:00-18:00"
9D,"09:00-12:00,12:30-14:30,17:00-19:00"
9E,"09:00-12:00,17:00-20:30"
9F,"09:00-12:00,17:30-21:00"
9G,"09:30-12:30,13:00-16:30"
9H,"09:30-12:00,16:30-20:30"
9I,"09:30-12:30,17:30-21:00"
9J,"09:30-12:00,17:30-21:30"
9K,"09:00-11:00,15:30-20:00"
9L,"09:30-12:00,17:30-21:00"
9M,09:00-11:30
9N,"09:00-12:00,13:00-16:30"
9O,"09:00-12:00,13:00-33:00"
9P,"09:00-12:00,13:00-17:30"
9Q,"09:00-11:30,13:30-22:00"
9R,"09:00-12:00,12:30-15:30"
9S,09:00-17:00
9T,"09:00-12:00,13:30-26:30"
9U,"09:00-12:00,13:00-17:00"
9V,"09:00-11:30,13:30-18:00"
9W,"09:00-11:00,14:30-19:00"
9X,"09:00-12:00,16:30-20:30"
9Y,"09:30-11:30,13:30-18:00"
9Z,"09:30-12:00,13:30-21:30"
9ZZ,"09:00-12:00,13:30-18:00"
DM01,"09:00-12:00,13:00-18:00"
DM02,"08:00-11:00,17:30-21:30"
DM03,"08:00-11:30,18:00-21:30"
DM04,"08:30-12:30,18:30-21:30"
DM05,"08:30-12:00,17:30-21:00"
DM06,"08:30-12:00,18:00-21:30"
DM07,"08:00-12:00,13:00-19:00"
